取得日時,工区,ステータス
2026-02-03 14:34:24,作業中,不明()
2026-02-03 14:34:24,作業中,不明()
2026-02-03 14:34:24,作業中,不明()
2026-02-03 14:34:24,作業中,不明()
2026-02-03 14:34:24,作業中,不明()
2026-02-03 14:34:24,作業中,不明()
2026-02-03 14:34:24,作業中,不明()
2026-02-03 14:34:24,作業中,不明()
2026-02-03 14:34:24,作業中,不明()
2026-02-03 14:34:24,作業中,不明()
2026-02-03 14:34:24,作業中,不明()
2026-02-03 14:34:24,作業中,不明()
2026-02-03 14:34:24,作業中,不明()
2026-02-03 14:34:24,作業中,不明()
2026-02-03 14:34:24,作業中,不明()
2026-02-03 14:34:24,作業中,不明()
2026-02-03 14:34:24,作業中,不明()
2026-02-03 14:34:24,作業中,不明()
2026-02-03 14:34:24,作業中,不明()
2026-02-03 14:34:24,作業中,不明()
2026-02-03 14:34:24,作業中,不明()
2026-02-03 14:34:24,作業中,不明()
2026-02-03 14:34:24,作業中,不明()
2026-02-03 14:34:24,作業中,不明()
2026-02-03 14:34:24,作業中,不明()
2026-02-03 14:34:24,作業中,不明()
2026-02-03 14:34:24,作業中,不明()
2026-02-03 14:34:24,作業中,不明()
2026-02-03 14:34:24,作業中,不明()
2026-02-03 14:34:24,作業中,不明()
2026-02-03 14:34:24,作業中,不明()
2026-02-03 14:34:24,作業中,不明()
2026-02-03 14:34:24,作業中,不明()
2026-02-03 14:34:24,作業中,不明()
2026-02-03 14:34:24,作業中,不明()
2026-02-03 14:34:24,作業中,不明()
2026-02-03 14:34:24,作業中,不明()
2026-02-03 14:34:24,作業中,不明()
2026-02-03 14:34:24,作業中,不明()
2026-02-03 14:34:24,作業中,不明()
2026-02-03 14:34:24,作業中,不明()
2026-02-03 14:34:24,作業中,不明()
2026-02-03 14:34:24,作業中,不明()
2026-02-03 14:34:24,作業中,不明()
2026-02-03 14:34:24,作業中,不明()
2026-02-03 14:34:24,作業中,不明()
2026-02-03 14:34:24,作業中,不明()
2026-02-03 14:34:24,作業中,不明()
2026-02-03 14:34:24,作業中,不明()
2026-02-03 14:34:24,作業中,不明()
2026-02-03 14:34:24,作業中,不明()
2026-02-03 14:34:24,作業中,不明()
2026-02-03 14:34:24,作業完了,不明()
2026-02-03 14:34:24,作業完了,不明()
2026-02-03 14:34:24,作業完了,不明()
2026-02-03 14:34:24,作業完了,不明()
2026-02-03 14:34:24,作業完了,不明()
2026-02-03 14:34:24,作業完了,不明()
2026-02-03 14:34:24,作業予定あり,不明()
2026-02-03 14:34:24,作業予定あり,不明()
2026-02-03 14:34:24,作業予定あり,不明()
2026-02-03 14:34:24,作業予定あり,不明()
2026-02-03 14:34:24,作業予定あり,不明()
2026-02-03 14:34:24,作業予定あり,不明()
2026-02-03 14:34:24,作業完了,不明()
2026-02-03 14:34:24,作業中,不明()
